# x_m,y_m,w_tr_right_m,w_tr_left_m,yaw
196.909,-263.408,6.036,5.869,-3.0071908623856247
195.918,-263.542,6.06,5.855,-3.006200032141814
194.927,-263.677,6.069,5.842,-3.0040821563886153
193.937,-263.814,6.081,5.834,-3.003229153183516
192.946,-263.952,6.087,5.829,-3.0011100251994103
191.956,-264.092,6.084,5.819,-3.0001198670976135
190.966,-264.233,6.093,5.804,-2.998140390286163
189.976,-264.376,6.104,5.786,-2.9960170643611037
188.987,-264.521,6.119,5.764,-2.993048829384228
187.998,-264.669,6.127,5.741,-2.992060000773887
187.009,-264.818,6.142,5.72,-2.988943325194485
186.021,-264.97,6.156,5.696,-2.9871203116424607
185.032,-265.124,6.172,5.667,-2.9838463742775945
184.045,-265.281,6.188,5.638,-2.981870661927725
183.058,-265.44,6.199,5.608,-2.9789094544143513
182.071,-265.602,6.204,5.582,-2.9757861897217506
181.085,-265.767,6.21,5.553,-2.972827949858292
180.099,-265.935,6.205,5.521,-2.970857442114493
179.113,-266.105,6.194,5.488,-2.966572628508647
178.129,-266.279,6.194,5.459,-2.962811443619563
177.144,-266.457,6.192,5.434,-2.96048613377824
176.161,-266.637,6.189,5.407,-2.9575348669134125
175.178,-266.82,6.174,5.375,-2.953604891443767
174.195,-267.007,6.151,5.349,-2.949299090286852
173.214,-267.198,6.136,5.325,-2.9473355691158005
172.233,-267.391,6.121,5.301,-2.9424334271382393
171.252,-267.589,6.115,5.295,-2.9400754291505184
170.273,-267.789,6.109,5.293,-2.936156474711671
169.294,-267.993,6.09,5.296,-2.932243910362607
168.315,-268.201,6.077,5.304,-2.9288921664157646
167.338,-268.412,6.072,5.318,-2.9259602453952134
166.361,-268.626,6.062,5.335,-2.921839109442643
165.385,-268.844,6.054,5.354,-2.9186924212614125
164.41,-269.065,6.051,5.381,-2.9145688673976657
163.436,-269.29,6.043,5.412,-2.9106736700364997
162.462,-269.519,6.033,5.435,-2.9075252936001466
161.489,-269.751,6.034,5.451,-2.9041399469372005
160.518,-269.986,6.035,5.467,-2.899281297425431
159.547,-270.226,6.038,5.486,-2.896128906824047
158.577,-270.469,6.04,5.504,-2.8920057281527933
157.608,-270.716,6.033,5.51,-2.8878827061623396
156.64,-270.967,6.029,5.511,-2.882793338000354
155.673,-271.223,6.044,5.518,-2.8786721719829984
154.707,-271.483,6.064,5.524,-2.8733228863243476
153.743,-271.748,6.069,5.523,-2.869200330731666
152.78,-272.017,6.077,5.519,-2.861919180364483
151.819,-272.293,6.102,5.513,-2.8568388134008753
150.859,-272.574,6.135,5.496,-2.850518964159769
149.901,-272.861,6.164,5.469,-2.8419903756326472
148.946,-273.156,6.204,5.436,-2.8359646350795527
147.992,-273.457,6.255,5.399,-2.8264812681622082
147.041,-273.767,6.321,5.355,-2.8179445682637727
146.093,-274.085,6.379,5.298,-2.8071845473590655
145.149,-274.413,6.452,5.24,-2.796752245845118
144.208,-274.751,6.528,5.167,-2.784109134492293
143.271,-275.101,6.628,5.085,-2.772409349245368
142.338,-275.462,6.735,4.99,-2.7571865747975406
141.411,-275.837,6.849,4.882,-2.7428760614422565
140.49,-276.225,6.983,4.752,-2.724890392850428
139.575,-276.63,7.124,4.612,-2.7079271049420175
138.668,-277.05,7.292,4.459,-2.6873323414808277
137.769,-277.489,7.486,4.298,-2.6667598287429253
